id;currency;description;display_symbol;figi;mic;share_class_figi;symbol;symbol_2;type
1;by blister;joint apropos save;rapid conserve nimble;boo;only where briskly;awkwardly below pavement;spatter pattern;caviar;consequently sloth silly
2;vivid drat trampoline;per what that;anenst owl considering;than;rent;zowie;cruelly smug save;separately tackle;rise classic
3;yum;bravely gee next;wise;hearty only;bake young;tonight shirt;visit weakly;ugh lavish;um crossly where
4;steep nest;before low consequently;exemplary;pose;shabby during;merrily evergreen and;unwitting;event without judgementally;nor whup athwart
5;yippee suture insistent;aw;bah unaware yum;marionberry creche geez;gallivant;onto realistic;ouch tenderly apud;into neuter parallel;absent plunder
6;cockroach;ugh whoa;risk climb;mid;stir-fry ream;whoever;abaft wordy;energetically after save;burdensome
7;cherish enthusiastically;to schmooze;baboon incompatible an;refresh into marvelous;clutter;oh shade duration;headhunt;past gadzooks;readily
8;conclude brr;reproachfully;during psst;out honorable gah;what;gee;trawl octet;beloved above kingfish;optimization
9;highly;yahoo ringed with;refuge rigidly fiction;astride horse typify;without;jealously;and between sniffle;cavernous instead;uh-huh because obedience
10;woot;merrily malinger and;mercerize ugh;glistening oh;spruce past;bah as;spasm ache beside;for when phooey;because hospitable
